datetime,location_name,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,mobility_composite,total_tests,total_pop,death,negative,positive,totalTestResults,visitor_outflow,pop_outflow,visitor_inflow,pop_inflow
2020-04-01,Alaska,144.5571476,53.047031,37.17403772,1.961618757,0.729537247,-52.0208266,3.8297961,788027.5317,3.0,4470.0,133.0,4603.0,47171,1084292,47506,1083755
2020-04-02,Alaska,150.80153280000005,54.88895462,38.41100785,1.855146558,0.704541945,-52.51870904,3.77375678,788027.5317,3.0,4879.0,143.0,5022.0,46488,1050356,46846,1050500
2020-04-03,Alaska,155.2703793,56.30441685,39.34237735,1.7198221619999998,0.667500771,-52.87137074,3.703534471,788027.5317,3.0,5859.0,157.0,6016.0,47405,1118576,47749,1117543
2020-04-04,Alaska,157.81361619999996,57.03876215,39.79212643,1.563691105,0.620583739,-53.09100972,3.629507983,788027.5317,5.0,5869.0,171.0,6040.0,43794,1047423,44188,1047608
2020-04-05,Alaska,158.3633705,56.72600657,39.50823726,1.39575337,0.566514867,-53.18807024,3.558058645,788027.5317,6.0,6099.0,185.0,6284.0,40644,1013503,41062,1014303
2020-04-06,Alaska,156.9353174,55.59425338,38.65385324,1.224966201,0.508263268,-53.17087028,3.492694252,788027.5317,6.0,6692.0,191.0,6883.0,42563,1097649,42861,1096165
2020-04-07,Alaska,153.6231335,53.77309668,37.36711012,1.059244885,0.448742822,-53.04539602,3.43589456,788027.5317,6.0,6700.0,213.0,6913.0,42392,1092095,42681,1090359
2020-04-08,Alaska,148.5885167,50.54128883,35.08535168,0.904830291,0.390571724,-52.81553548,3.391018621,788027.5317,7.0,6842.0,226.0,7068.0,43723,1128668,44050,1127316
2020-04-09,Alaska,142.0478999,47.3131333,32.87098699,0.765892062,0.3358547,-52.48355343,3.363627562,788027.5317,7.0,6988.0,235.0,7223.0,42845,1108839,43130,1106784
2020-04-10,Alaska,134.25732109999998,44.17624421,30.67058668,0.644580498,0.286075104,-52.05072912,3.361603151,788027.5317,7.0,7186.0,246.0,7432.0,44671,1169330,44886,1165178
2020-04-11,Alaska,125.4968396,40.65534231,28.21605775,0.541334089,0.242094033,-51.51811537,3.393868979,788027.5317,8.0,7475.0,257.0,7732.0,41334,1124105,41618,1120711
2020-04-12,Alaska,116.0557866,36.62053294,25.33707955,0.455345129,0.204216683,-50.88738645,3.468276904,788027.5317,8.0,7766.0,272.0,8038.0,34836,963346,35097,961126
2020-04-13,Alaska,106.2202805,32.75140531,22.49841211,0.385048967,0.172318683,-50.1618342,3.589870092,788027.5317,8.0,7553.0,277.0,7830.0,39538,1108823,39824,1106521
2020-04-14,Alaska,96.26287107,29.24967461,20.01438219,0.328523905,0.145981364,-49.34754729,3.760790893,788027.5317,9.0,8063.0,285.0,8348.0,39836,1164009,40075,1160114
2020-04-15,Alaska,86.43357398,25.81110779,17.55341949,0.28374796,0.124610989,-48.45337665,3.982486356,788027.5317,9.0,8371.0,293.0,8664.0,39732,1143778,40023,1141660
2020-04-16,Alaska,76.95235551,22.72402659,15.33051453,0.248798325,0.107546768,-47.49047788,4.259538362,788027.5317,9.0,8435.0,300.0,8735.0,39820,1160457,40092,1157594
2020-04-17,Alaska,68.0037607,19.8957574,13.33676155,0.221995876,0.094144611,-46.47196829,4.602971861,788027.5317,9.0,9141.0,309.0,9450.0,41751,1240230,42059,1237502
2020-04-18,Alaska,59.73225452,17.26198695,11.511645,0.201946726,0.083818317,-45.41264473,5.030422533,788027.5317,9.0,9341.0,314.0,9655.0,39271,1174272,39510,1170393
2020-04-19,Alaska,52.23909491,14.89838315,9.859264807999999,0.187509963,0.076055743,-44.32823539,5.561695932,788027.5317,9.0,9576.0,319.0,9895.0,36155,990165,36352,987869
2020-04-20,Alaska,45.58224413,12.85979775,8.529720767999999,0.177733657,0.070420547,-43.23414217,6.210166218,788027.5317,9.0,9803.0,321.0,10124.0,42156,1177042,42319,1170690
2020-04-21,Alaska,39.78001468,11.14572944,7.416619651,0.17182608600000002,0.066550141,-42.14403945,6.971789206,788027.5317,9.0,10790.0,329.0,11119.0,43096,1114363,43278,1108728
2020-04-22,Alaska,38.45012859,10.73473914,7.094338769,0.169107032,0.064139842,-41.06883086,7.8145689639999985,788027.5317,9.0,11824.0,335.0,12159.0,44056,1193907,44249,1187278
2020-04-23,Alaska,33.27361076,9.281552161,6.060774707,0.168980496,0.06292845700000001,-40.01881955,8.672605089,788027.5317,9.0,11824.0,337.0,12161.0,43335,1182807,43533,1175991
2020-04-24,Alaska,26.61495509,7.380533567,4.7813486880000005,0.170884185,0.062682402,-39.00547347,9.450304098,788027.5317,9.0,11942.0,339.0,12281.0,45247,1228030,45500,1223294
2020-04-25,Alaska,23.09009479,6.400535551,4.117509568,0.174242642,0.06317832799999999,-38.04206315,10.04111708,788027.5317,9.0,15393.0,339.0,15732.0,43525,1138360,43934,1138823
